furnishing,parking,bath,price,size,loc,sqft
Unfurnished,2,2,39000000,3,Andheri East Mumbai,970
Semi-Furnished,1,3,29000000,3,Andheri East Mumbai,967
Unfurnished,1,2,19000000,2,Andheri East Mumbai,826
Unfurnished,1,2,18700000,2,Andheri East Mumbai,680
Unfurnished,1,2,16500000,2,Andheri East Mumbai,675
Semi-Furnished,2,2,38000000,3,Andheri East Mumbai,863
Unfurnished,1,3,28000000,3,Andheri East Mumbai,913
Semi-Furnished,1,2,40500000,3,Andheri East Mumbai,950
Unfurnished,1,2,11500000,1,Andheri East Mumbai,550
Unfurnished,2,3,35000000,3,Andheri East Mumbai,1120
Semi-Furnished,2,4,70000000,4,Andheri East Mumbai,1714
Unfurnished,1,2,24000000,2,Andheri East Mumbai,860
Unfurnished,2,2,26500000,2,Andheri East Mumbai,800
Unfurnished,1,2,21800000,2,Andheri East Mumbai,618
Unfurnished,1,2,11900000,1,Andheri East Mumbai,508
Unfurnished,1,2,21500000,2,Andheri East Mumbai,700
Unfurnished,1,2,6850000,1,Andheri East Mumbai,325
Unfurnished,1,2,26500000,2,Andheri East Mumbai,726
Unfurnished,1,3,22000000,3,Andheri East Mumbai,745
Unfurnished,1,3,28000000,3,Andheri East Mumbai,840
Unfurnished,1,3,23000000,2,Andheri East Mumbai,740
Unfurnished,2,3,36500000,3,Andheri East Mumbai,1065
Semi-Furnished,1,1,9500000,1,Andheri East Mumbai,275
Unfurnished,1,2,20500000,2,Andheri East Mumbai,640
Unfurnished,2,2,14900000,2,Andheri East Mumbai,635
Unfurnished,1,2,13900000,1,Andheri East Mumbai,590
Unfurnished,1,2,14000000,2,Andheri East Mumbai,615
Semi-Furnished,1,2,18200000,2,Andheri East Mumbai,681
Unfurnished,1,2,17100000,2,Andheri East Mumbai,850
Semi-Furnished,1,2,37500000,3,Andheri East Mumbai,889
Unfurnished,1,3,31800000,3,Andheri East Mumbai,1076
Unfurnished,1,2,9930000,1,Andheri East Mumbai,424
Semi-Furnished,1,2,14900000,2,Andheri East Mumbai,615
Unfurnished,1,2,9900000,2,Andheri East Mumbai,572
Semi-Furnished,1,2,9700000,2,Andheri East Mumbai,464
Semi-Furnished,1,2,20000000,2,Andheri East Mumbai,720
Furnished,1,2,11600000,1,Andheri East Mumbai,424
Unfurnished,1,3,19500000,3,Andheri East Mumbai,900
Unfurnished,1,2,27800000,2,Andheri East Mumbai,823
Semi-Furnished,1,2,28000000,2,Andheri East Mumbai,810
Furnished,1,2,12000000,1,Andheri East Mumbai,424
Unfurnished,2,3,62500000,3,Andheri East Mumbai,1600
Unfurnished,1,2,18200000,2,Andheri East Mumbai,720
Unfurnished,1,2,11200000,1,Andheri East Mumbai,430
Semi-Furnished,1,2,11200000,1,Andheri East Mumbai,442
Unfurnished,1,1,11000000,1,Andheri East Mumbai,442
Unfurnished,1,3,59400000,3,Andheri East Mumbai,1321
Unfurnished,1,2,20800000,2,Andheri East Mumbai,618
Furnished,3,6,75000000,4,Andheri East Mumbai,1850
Unfurnished,1,3,30000000,3,Andheri East Mumbai,840
Unfurnished,2,4,81400000,4,Andheri East Mumbai,2195
Unfurnished,1,2,31000000,3,Andheri East Mumbai,1000
Semi-Furnished,2,3,50000000,4,Andheri East Mumbai,1510
Semi-Furnished,1,2,34400000,3,Andheri East Mumbai,900
Semi-Furnished,1,2,18500000,2,Andheri East Mumbai,618
Semi-Furnished,2,2,34000000,3,Andheri East Mumbai,985
Semi-Furnished,1,3,42500000,3,Andheri East Mumbai,1400
Unfurnished,1,3,23000000,3,Andheri East Mumbai,980
Unfurnished,2,2,25000000,2,Andheri East Mumbai,700
Unfurnished,1,2,17500000,2,Andheri East Mumbai,720
Semi-Furnished,1,4,70000000,4,Andheri East Mumbai,1750
Semi-Furnished,1,2,11000000,1,Andheri East Mumbai,450
Semi-Furnished,2,3,32600000,3,Andheri East Mumbai,1165
Unfurnished,1,2,14000000,1,Andheri East Mumbai,415
Furnished,1,2,11500000,1,Andheri East Mumbai,424
Semi-Furnished,2,5,73700000,4,Andheri East Mumbai,2200
Unfurnished,2,3,23000000,3,Andheri East Mumbai,900
Unfurnished,1,2,6500000,1,Andheri East Mumbai,380
Unfurnished,1,2,32500000,2,Andheri East Mumbai,751
Unfurnished,1,2,8500000,1,Andheri East Mumbai,390
Unfurnished,1,2,9500000,1,Andheri East Mumbai,410
Unfurnished,1,2,22400000,2,Andheri East Mumbai,813
Unfurnished,1,1,15500000,1,Andheri East Mumbai,436
Unfurnished,2,3,36000000,3,Andheri East Mumbai,1120
Unfurnished,1,2,27000000,2,Andheri East Mumbai,751
Unfurnished,1,2,12300000,1,Andheri East Mumbai,444
Semi-Furnished,1,2,7900000,1,Andheri East Mumbai,400
Unfurnished,1,2,15000000,1,Andheri East Mumbai,720
Semi-Furnished,2,3,66900000,3,Andheri East Mumbai,1499
Semi-Furnished,1,2,11000000,2,Andheri East Mumbai,510
Unfurnished,1,2,39000000,3,Andheri East Mumbai,1200
Furnished,1,3,67500000,3,Andheri East Mumbai,1817
Furnished,1,3,27500000,3,Andheri East Mumbai,720
Unfurnished,1,1,12600000,1,Andheri East Mumbai,425
Unfurnished,1,1,10000000,1,Andheri East Mumbai,370
Unfurnished,2,3,50000000,3,Andheri East Mumbai,1381
Unfurnished,1,1,5000000,1,Andheri East Mumbai,340
Unfurnished,1,2,15400000,2,Andheri East Mumbai,720
Semi-Furnished,1,2,28000000,2,Andheri East Mumbai,773
Furnished,1,2,25000000,2,Andheri East Mumbai,750
Semi-Furnished,1,3,23000000,3,Andheri East Mumbai,900
Furnished,2,5,46000000,4,Andheri East Mumbai,1560
Semi-Furnished,1,2,40000000,3,Andheri East Mumbai,880
Semi-Furnished,1,2,10300000,1,Andheri East Mumbai,440
Unfurnished,1,2,14500000,1,Andheri East Mumbai,439
Unfurnished,1,2,21000000,2,Andheri East Mumbai,646
Semi-Furnished,1,6,70000000,4,Andheri East Mumbai,1718
Unfurnished,2,3,35500000,3,Andheri East Mumbai,1065
Unfurnished,1,2,19000000,2,Andheri East Mumbai,690
Unfurnished,1,2,13700000,1,Andheri East Mumbai,425
Semi-Furnished,1,2,11500000,1,Andheri East Mumbai,380
Unfurnished,1,2,18500000,2,Andheri East Mumbai,685
Unfurnished,1,2,21000000,2,Andheri East Mumbai,750
Semi-Furnished,1,2,16500000,2,Andheri East Mumbai,650
Semi-Furnished,1,2,11500000,1,Andheri East Mumbai,428
Unfurnished,1,2,15900000,2,Andheri East Mumbai,657
Unfurnished,1,1,9500000,1,Andheri East Mumbai,380
Furnished,1,2,22000000,2,Andheri East Mumbai,750
Unfurnished,1,2,22000000,2,Andheri East Mumbai,707
Semi-Furnished,1,2,15000000,2,Andheri East Mumbai,500
Unfurnished,1,3,36500000,3,Andheri East Mumbai,720
Unfurnished,1,2,22000000,2,Andheri East Mumbai,700
Furnished,2,5,46000000,4,Andheri East Mumbai,1560
Unfurnished,2,4,78000000,4,Andheri East Mumbai,2055
Unfurnished,1,2,10900000,1,Andheri East Mumbai,425
Furnished,3,4,57500000,3,Andheri East Mumbai,2068
Unfurnished,1,3,53200000,3,Andheri East Mumbai,1395
Unfurnished,2,3,32800000,3,Andheri East Mumbai,992
Unfurnished,1,1,8200000,1,Andheri East Mumbai,421
Unfurnished,1,2,22200000,2,Andheri East Mumbai,793
Semi-Furnished,1,2,7000000,1,Andheri East Mumbai,307
Unfurnished,1,4,50000000,4,Andheri East Mumbai,1379
Unfurnished,1,2,11500000,1,Andheri East Mumbai,415
Unfurnished,1,2,19100000,2,Andheri East Mumbai,705
Furnished,1,2,17500000,2,Andheri East Mumbai,620
Unfurnished,1,2,16600000,1,Andheri East Mumbai,450
Unfurnished,1,2,16400000,2,Andheri East Mumbai,699
Unfurnished,1,2,18900000,2,Andheri East Mumbai,685
Unfurnished,1,2,18800000,2,Andheri East Mumbai,845
Semi-Furnished,1,2,19500000,2,Andheri East Mumbai,750
Furnished,1,1,13500000,1,Andheri East Mumbai,495
Semi-Furnished,1,2,21000000,2,Andheri East Mumbai,700
Unfurnished,1,2,14600000,1,Andheri East Mumbai,427
Semi-Furnished,3,4,48500000,3,Andheri East Mumbai,1321
Unfurnished,1,3,35000000,3,Andheri East Mumbai,1200
Unfurnished,1,3,31200000,3,Andheri East Mumbai,1000
Unfurnished,1,3,23500000,3,Andheri East Mumbai,807
Furnished,1,2,21100000,2,Andheri East Mumbai,720
Unfurnished,1,3,33000000,3,Andheri East Mumbai,1020
Unfurnished,2,4,60000000,3,Andheri East Mumbai,1520
Unfurnished,1,3,52500000,3,Andheri East Mumbai,1500
Furnished,1,2,17000000,2,Andheri East Mumbai,670
Unfurnished,1,2,11000000,1,Andheri East Mumbai,450
Semi-Furnished,1,2,11200000,1,Andheri East Mumbai,450
